run_id,particle,energy_keV,x,y,z,pitch_deg,phi_deg,steps,dt,method,energy_mean_err,energy_max_err,energy_rms_err,mu_mean_err,mu_max_err,mu_rms_err
20250906_153135,proton,100000000.0,5.0,0.0,0.0,90.0,90.0,100000,0.1,PS,3.637951116580698e-15,5.36876904677346e-15,3.750792277122732e-15,1849.372665416509,1881.3911299061463,1849.4644982411278
20250906_153201,proton,100000000.0,5.0,0.0,0.0,90.0,90.0,100000,0.01,PS,1.2455544188514427e-15,2.3183320883794485e-15,1.3342263945229626e-15,7.76485183232427,7.814008952631284,7.764903757337803
20250906_153228,proton,100000000.0,5.0,0.0,0.0,90.0,90.0,100000,0.001,PS,6.334049317887661e-15,7.93113609182443e-15,6.36998202755443e-15,0.20102131345157317,0.20295950278083424,0.20102442546587862
20250906_153300,proton,100000000.0,5.0,0.0,0.0,90.0,90.0,1000000,0.001,PS,3.6877623117617055e-14,3.989971541579367e-14,3.6898440302422206e-14,7.764807565942261,7.8140089526302585,7.7648594911808715
20250906_153709,proton,100000000.0,5.0,0.0,0.0,90.0,90.0,10000000,0.001,PS,1.9436052112058174e-13,2.199975134393761e-13,1.9480827950651614e-13,1849.3410627116896,1881.3911299067893,1849.4328950000001
20250906_154910,proton,100000.0,5.0,0.0,0.0,30.0,90.0,10000000,12.1,RK4,361583.59123716026,361583.5912371602,361583.59123716014,4.680098777697278e+25,4.753770379737751e+25,4.680290720197659e+25
20250906_154910,proton,100000.0,5.0,0.0,0.0,30.0,90.0,10000000,12.1,RK45,0.5580140991286483,0.5609418125194829,0.5580165420026217,0.7227704793681285,0.7402797898337384,0.7227891305475982
20250906_154910,proton,100000.0,5.0,0.0,0.0,30.0,90.0,10000000,12.1,RKG,5.601656859965695e-06,2.5142777794836283e-05,9.56824220204184e-06,0.06164551408116854,0.12459888400751384,0.06541430963144174
20250906_154910,proton,100000.0,5.0,0.0,0.0,30.0,90.0,10000000,12.1,PS,1.490289760478993e-11,1.4979530850503273e-11,1.4902961015575964e-11,0.06164650356974043,0.12459230556581878,0.06541618593519864
20250906_155117,proton,100000.0,5.0,0.0,0.0,30.0,90.0,6300,12.1,PS,3.840724526982624e-15,4.518030719500308e-15,3.852783080780436e-15,0.06005558364756043,0.07633889298784502,0.06089137702154573
20250906_155357,proton,100000.0,5.0,0.0,0.0,30.0,90.0,6300,12.1,PS,3.840724526982624e-15,4.518030719500308e-15,3.852783080780436e-15,0.06005558364756043,0.07633889298784502,0.06089137702154573
20250906_155902,proton,100000.0,5.0,0.0,0.0,30.0,90.0,1555879,12.1,PS,2.408131846901013e-12,2.422668472478721e-12,2.408149146753815e-12,0.06162923561473552,0.12459829847550029,0.06567614137103578
20250906_160219,proton,100000.0,5.0,0.0,0.0,30.0,90.0,1555879,12.1,RK4,333661.97467278887,333661.9746727889,333661.974672789,4.551457474905064e+22,4.643424957963637e+22,4.551764471852971e+22
20250906_160219,proton,100000.0,5.0,0.0,0.0,30.0,90.0,1555879,12.1,RK45,0.09154834119515844,0.09203673121173467,0.0915487293993635,0.08699401469023126,0.13981100410513495,0.08887166154509744
20250906_160219,proton,100000.0,5.0,0.0,0.0,30.0,90.0,1555879,12.1,RKG,5.210606413405317e-06,2.5098976941565618e-05,9.18056635312792e-06,0.06166521708173738,0.12460057275358824,0.0657352412985358
20250906_160219,proton,100000.0,5.0,0.0,0.0,30.0,90.0,1555879,12.1,PS,2.408131846901013e-12,2.422668472478721e-12,2.408149146753815e-12,0.06162923561473552,0.12459829847550029,0.06567614137103578
20250906_160428,proton,100000.0,5.0,0.0,0.0,30.0,90.0,1555879,12.1,RK4,333661.97467278887,333661.9746727889,333661.974672789,4.551457474905064e+22,4.643424957963637e+22,4.551764471852971e+22
20250906_160428,proton,100000.0,5.0,0.0,0.0,30.0,90.0,1555879,12.1,RK45,0.09154834119515844,0.09203673121173467,0.0915487293993635,0.08699401469023126,0.13981100410513495,0.08887166154509744
20250906_160428,proton,100000.0,5.0,0.0,0.0,30.0,90.0,1555879,12.1,RKG,5.210606413405317e-06,2.5098976941565618e-05,9.18056635312792e-06,0.06166521708173738,0.12460057275358824,0.0657352412985358
20250906_160428,proton,100000.0,5.0,0.0,0.0,30.0,90.0,1555879,12.1,PS,2.408131846901013e-12,2.422668472478721e-12,2.408149146753815e-12,0.06162923561473552,0.12459829847550029,0.06567614137103578
20250906_161351,electron,100000000.0,5.0,0.0,0.0,60.0,90.0,1000,12.1,RK4,8.503916059824045e-05,8.598034903763853e-05,8.504170460965059e-05,0.19647515941303204,0.22036434015929704,0.19737869648891088
20250906_161351,electron,100000000.0,5.0,0.0,0.0,60.0,90.0,1000,12.1,RK45,4.04109891813177e-06,4.091805265871014e-06,4.041171249848521e-06,0.19638682606027175,0.22029432614810598,0.19729171138679402
20250906_161351,electron,100000000.0,5.0,0.0,0.0,60.0,90.0,1000,12.1,RKG,2172.4427193027423,2172.4427235928983,2172.4427193027423,19732885336.037773,20000640550.711796,19733621472.73676
20250906_161351,electron,100000000.0,5.0,0.0,0.0,60.0,90.0,1000,12.1,PS,1.2981111733957057e-15,1.4920818085008111e-15,1.3067434065415032e-15,0.19638328300423763,0.22029093928638954,0.19728819776959586
20250906_161433,electron,100000000.0,5.0,0.0,0.0,60.0,90.0,1000,12.1,RK4,8.503916059824045e-05,8.598034903763853e-05,8.504170460965059e-05,0.19647515941303204,0.22036434015929704,0.19737869648891088
20250906_161433,electron,100000000.0,5.0,0.0,0.0,60.0,90.0,1000,12.1,RK45,4.04109891813177e-06,4.091805265871014e-06,4.041171249848521e-06,0.19638682606027175,0.22029432614810598,0.19729171138679402
20250906_161433,electron,100000000.0,5.0,0.0,0.0,60.0,90.0,1000,12.1,RKG,2172.4427193027423,2172.4427235928983,2172.4427193027423,19732885336.037773,20000640550.711796,19733621472.73676
